510E,4EE2,0
4CE5,4B15,0
4968,47D8,0
465F,450B,0
43D0,429F,0
4180,4076,0
3F78,3E77,0
3D83,3C9A,0
3BAD,3ACC,0
39F5,392A,0
3866,37A5,0
36ED,3640,0
3596,34EC,0
3444,33AA,0
330E,3277,0
31E9,3156,0
30CB,3046,0
2FC0,2F41,0
2EC0,2E49,0
2DD2,2D5D,0
2CED,2C84,0
2C1A,2BB2,0
2B4D,2AEC,0
2A8B,2A2E,0
29D1,2976,0
291D,28C5,0
2872,281F,0
27CE,2780,0
2732,26E4,0
2696,264F,0
2604,25BF,0
257A,2539,0
24F6,24BA,0
247E,2445,0
240E,23D6,0
23A1,236A,0
2335,2300,0
22C9,2293,0
225D,2227,0
21F1,21BA,0
2186,2154,0
2121,20F0,0
20BD,208C,0
205D,2031,0
2003,1FD4,0
1FA8,1F7D,0
1F51,1F24,0
1EFD,1ED6,0
1EB0,1E89,0
1E65,1E40,0
1E1C,1DFD,0
1DDD,1DBB,0
1D95,1D74,0
1D53,1D34,0
1D13,1CF1,0
1CD2,1CB1,0
1C96,1C7A,0
1C5B,1C3C,0
1C21,1C05,0
1BE9,1BCD,0
1BB3,1B97,0
1B79,1B5F,0
1B48,1B2E,0
1B12,1AF7,0
1ADF,1AC6,0
1AAF,1A95,0
1A79,1A5F,0
1A49,1A36,0
1A1E,1A01,0
19EA,19D6,0
19A9,1992,0
1966,1952,0
1927,1911,0
18EA,18D5,0
18AD,189B,0
1872,1861,0
183B,182A,0
1808,17F4,0
17D6,17C5,0
17A3,1794,0
1774,1764,0
1746,1736,0
1719,170A,0
16ED,16DF,0
16C3,16B5,0
1698,168B,0
1671,1662,0
164A,163C,0
1622,1618,0
15FE,15F2,0
15DC,15CD,0
15B6,15AC,0
1595,158A,0
1577,1569,0
1553,154A,0
1533,152A,0
1515,1509,0
14F9,14EF,0
14DB,14D2,0
14BD,14B6,0
14A4,149A,0
1487,147F,0
146B,146B,0
1462,1457,0
1452,144E,0
1444,1440,0
143E,143D,0
144D,1456,0
T
