3538.84 1.52 0.19
3562.85 1.38 0.16
3596.65 1.44 0.18
3646.42 1.32 0.15
3706.02 1.32 0.15
3771.97 1.38 0.16
3846.15 1.47 0.18
3931.68 1.35 0.15
4016.83 1.56 0.21
4104.52 1.56 0.21
4189.17 1.59 0.21
4276.58 1.75 0.26
4356.29 1.83 0.28
4434.12 1.90 0.31
4513.59 2.00 0.34
4586.08 2.15 0.39
4659.02 2.14 0.39
4731.70 2.30 0.45
4803.97 2.41 0.49
4872.22 2.39 0.48
4945.29 2.49 0.52
5014.33 2.64 0.59
5083.80 2.70 0.62
5159.51 2.70 0.61
5229.48 2.82 0.67
5298.50 2.92 0.72
5373.59 2.91 0.71
5445.19 3.12 0.82
5513.81 3.16 0.85
5589.22 3.18 0.85
5661.08 3.37 0.96
5730.00 3.46 1.01
5801.11 3.56 1.07
5874.00 3.69 1.15
5942.02 3.74 1.18
6014.28 3.82 1.23
6084.52 4.03 1.37
6151.97 3.97 1.33
6223.22 4.14 1.45
6290.32 4.33 1.58
6355.34 4.45 1.67
6427.76 4.40 1.64
6495.67 4.42 1.65
6560.61 4.64 1.82
6628.14 4.77 1.93
6693.80 5.06 2.16
6758.09 5.07 2.18
6825.68 5.03 2.14
6891.16 5.08 2.18
6951.52 5.42 2.48
7015.83 5.37 2.43
7085.02 5.49 2.54
7145.10 5.75 2.79
7211.54 5.55 2.60
7275.34 5.97 3.01
7335.56 6.18 3.23
7402.39 6.07 3.12
7465.54 6.08 3.13
7524.81 6.43 3.49
7593.46 6.23 3.28
7655.64 6.32 3.38
7711.86 6.73 3.83
7778.66 6.56 3.63
7841.22 6.70 3.79
7899.31 6.99 4.13
7966.62 6.81 3.92
8023.75 7.31 4.52
8078.84 7.64 4.93
8142.45 7.58 4.86
8201.15 7.76 5.08
8260.71 7.64 4.93
8317.08 7.69 5.00
8380.40 7.87 5.23
8432.17 8.16 5.63
8491.98 7.97 5.37
8550.49 8.15 5.61
8602.22 8.53 6.14
8662.27 8.38 5.94
8717.59 8.71 6.41
8772.49 8.84 6.60
8828.09 8.96 6.79
8885.56 9.10 7.00
8930.91 9.88 8.25
8994.47 8.84 6.61
9049.32 9.04 6.91
9100.00 9.32 7.34
9146.34 9.77 8.07
9205.56 9.58 7.76
9255.49 9.40 7.47
9305.97 9.77 8.07
9354.44 10.44 9.21
9404.71 10.40 9.15
9456.84 10.19 8.77
9508.22 10.24 8.87
9560.16 10.57 9.45
9609.97 10.44 9.22
9654.83 10.68 9.64
9704.25 11.03 10.28
9748.61 10.98 10.19
9800.40 11.35 10.88
9839.97 11.61 11.39
9887.01 11.56 11.29
9941.73 11.51 11.20
9985.37 11.35 10.89
10024.97 12.06 12.29
10079.75 11.78 11.73
10120.11 11.94 12.05
10162.30 12.46 13.13
10214.01 12.05 12.28
10253.91 12.33 12.86
10298.78 12.27 12.72
10351.89 12.33 12.85
10392.87 12.38 12.96
10432.59 12.55 13.31
10474.22 12.85 13.95
10525.91 12.19 12.55
10563.38 13.63 15.71
10611.01 13.15 14.61
10654.07 13.20 14.73
10694.14 13.25 14.84
10741.27 13.31 14.97
10780.29 13.91 16.36
10821.31 13.68 15.82
10864.37 14.32 17.33
10904.30 14.53 17.83
10942.76 15.06 19.18
10995.65 13.62 15.68
11027.63 14.85 18.64
11075.95 13.72 15.91
11115.64 14.65 18.14
11157.43 14.86 18.67
11190.36 14.75 18.39
11232.72 14.96 18.93
11279.13 15.02 19.08
11310.91 15.07 19.19
11352.30 15.12 19.33
11390.19 15.34 19.89
11426.42 15.39 20.01
11468.66 16.15 22.03
11505.39 15.84 21.20
11540.41 15.71 20.86
11581.54 15.60 20.56
11620.98 15.48 20.26
11646.76 16.58 23.25
11696.66 15.92 21.43
11722.78 16.69 23.55
11763.19 16.56 23.18
11805.92 16.43 22.83
11840.74 16.86 24.03
11875.76 16.72 23.63
11915.15 16.77 23.78
11946.44 17.01 24.46
11975.79 17.87 27.01
12017.96 16.92 24.20
12058.30 17.37 25.50
12081.78 18.03 27.49
12120.41 18.09 27.66
12154.94 18.36 28.50
12189.68 17.77 26.68
12202.75 18.21 28.04
12194.03 18.20 28.00
